model,SPSR_correct,SPSR_total,SPSR_ratio,SPMR_correct,SPMR_total,SPMR_ratio,MPMR_correct,MPMR_total,MPMR_ratio,ALL_correct,ALL_total,ALL_ratio
Kimi-k2.5,620,749,0.8277703604806409,442,556,0.7949640287769785,236,318,0.7421383647798742,1298,1623,0.7997535428219347
ernie-5.0,578,749,0.7716955941255007,433,556,0.7787769784172662,245,318,0.7704402515723271,1256,1623,0.773875539125077
qwen3-vl-32b-instruct,542,749,0.7236315086782377,433,556,0.7787769784172662,212,318,0.6666666666666666,1187,1623,0.7313616759088108
qwen3-vl-235b-a22b-instruct,524,749,0.6995994659546061,417,556,0.75,203,318,0.6383647798742138,1144,1623,0.7048675292667899
qwen3.5-27b,524,749,0.6995994659546061,388,556,0.697841726618705,219,318,0.6886792452830188,1131,1623,0.6968576709796673
qwen3.5-122b-a10b,530,749,0.7076101468624834,384,556,0.6906474820143885,205,318,0.6446540880503144,1119,1623,0.6894639556377079
claude-sonnent-4.6,553,749,0.7383177570093458,366,556,0.658273381294964,192,318,0.6037735849056604,1111,1623,0.6845348120764018
qwen3.5-397b-a17b,516,749,0.6889185580774366,375,556,0.6744604316546763,214,318,0.6729559748427673,1105,1623,0.680837954405422
qwen3-vl-8b-instruct,464,749,0.6194926568758344,357,556,0.6420863309352518,161,318,0.5062893081761006,982,1623,0.6050523721503389
internvl3-38b,387,749,0.5166889185580774,270,556,0.4856115107913669,125,318,0.39308176100628933,782,1623,0.4818237831176833
